Location,"Lat (UTM)", "Lon (UTM)"
ACC,"38.78183", "-121.60432"
ACCSAC1,"38.7817", "-121.60776"
ACCSAC2,"38.77818", "-121.60199"
ACCSAC3,"38.77412", "-121.5984"
ACCSAC4,"38.76663", "-121.59364"
ELDCAN,"38.856240", "-121.786175"
ELDSAC,"38.856665", "-121.785262"
KLOG,"38.8014", "-121.72348"
KLOGB,"38.799399", "-121.725280"
KLSAC,"38.8024", "-121.71673"
KNG1,"38.7041", "-121.66971"
KNG2,"38.7034", "-121.6697"
KNG3,"38.7027", "-121.66959"
KNG4,"38.70202", "-121.66954"
KNG5,"38.70131", "-121.66945"
KNG6,"38.70057", "-121.66936"
KNG7,"38.69989", "-121.6693"
KNG8,"38.6992", "-121.66923"
KNG9,"38.6985", "-121.66914"
KNGCAN,"38.7016", "-121.67063"
MNT3A,"38.9382", "-121.60714"
MNTEB1,"38.940203", "-121.644060"
MNTFEA,"38.95575", "-121.58389"
MNTNEW,"38.94532", "-121.63416"
MNTNEWCAN,"38.94108", "-121.63439"
MNTNEWCAN2,"38.948210", "-121.634486"
RG92,"38.83211", "-121.74011"
RGSAC,"38.840656", "-121.728323"
RRCAN,"38.862152", "-121.793035"
RRSAC1,"38.866534", "-121.795670"
RRSAC2,"38.862775", "-121.792543"
RRSAC2A,"38.862810", "-121.792717"
RRSAC2B,"38.863128", "-121.793210"
RRSAC3,"38.863506", "-121.786417"
RRSAC4,"38.858198", "-121.784856"
SFT18,"39.143928", "-121.974314"
SFTSAC,"39.132719", "-121.938321"
SMSAC,"38.77108", "-121.68924"
SMSSL,"38.78444", "-121.65314"
SMSUT,"38.785190", "-121.654258"
TPSAC,"38.80177", "-121.72133"
